2023-9-10 20:22 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/start)
2023-9-10 20:22 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/sign)
2023-9-10 20:22 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/info)
2023-9-10 20:23 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/help)
2023-9-10 20:23 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/sign)
2023-9-10 20:23 [INFO] User(6168034131, 崔炳德 源头频道(尾号AAAAAAA), @cuibingde, None, zh-hans, message=/start)
2023-9-10 20:23 [INFO] User(6168034131, 崔炳德 源头频道(尾号AAAAAAA), @cuibingde, None, zh-hans, message=/sign)
2023-9-10 20:31 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/sign)
2023-9-10 20:31 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/name 姓名)
2023-9-10 20:31 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/name 李飞)
2023-9-10 20:36 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/start)
2023-9-10 20:37 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/start)
2023-9-10 20:42 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/info)
2023-9-10 20:43 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/start)
2023-9-10 20:44 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/start)
2023-9-10 20:57 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/start)
2023-9-10 20:59 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/sign)
2023-9-10 20:59 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/info)
2023-9-10 20:59 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/help)
2023-9-10 21:00 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/sign)
2023-9-10 21:00 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/info)
2023-9-10 21:00 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/help)
2023-9-10 21:01 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/help)
2023-9-10 21:01 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/help)
2023-9-10 21:02 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/start)
2023-9-10 21:02 [INFO] User(5214901383, penguin, @flypenguin6, None, zh-hans, message=/sign)
